t,r,N_n,N_t,C_h,,t,r,N_n,N_t,C_h,pH,,error N_n,Error_ N_t,Error _C_H
0,0,50002269.89,99995.50561,9.93E-10,,0,0,50002269.89,99995.50561,9.93E-10,7.389297003,,6.87E-09,9.98E-10,3.09E-02
0,0.005,50003742.31,99992.59022,9.89E-10,,0,0.005,50003742.31,99992.59022,9.89E-10,7.38934271,,2.75E-09,3.48E-09,1.32E-03
0,0.01,50006169.73,99987.78394,9.82E-10,,0,0.01,50006169.73,99987.78394,9.82E-10,7.38941722,,2.40E-09,3.02E-09,1.40E-03
0,0.015,50010171.35,99979.86073,9.71E-10,,0,0.015,50010171.35,99979.86073,9.71E-10,7.389537818,,2.19E-09,8.28E-10,3.22E-02
0,0.02,50016767.51,99966.80034,9.53E-10,,0,0.02,50016767.51,99966.80034,9.53E-10,7.389730759,,6.95E-09,2.92E-09,4.47E-02
0,0.025,50027638.93,99945.27491,9.24E-10,,0,0.025,50027638.93,99945.27491,9.24E-10,7.390033784,,3.69E-09,4.95E-09,1.53E-02
0,0.03,50045552.56,99909.80593,8.81E-10,,0,0.03,50045552.56,99909.80593,8.81E-10,7.39049615,,5.59E-10,1.76E-09,2.30E-02
0,0.035,50075059.11,99851.38296,8.18E-10,,0,0.035,50075059.11,99851.38296,8.18E-10,7.39117144,,5.67E-09,3.42E-09,5.20E-02
0,0.04,50123631.16,99755.21031,7.31E-10,,0,0.04,50123631.16,99755.21031,7.31E-10,7.392097234,,4.33E-09,2.51E-09,8.01E-03
0,0.045,50203506.89,99597.05637,6.22E-10,,0,0.045,50203506.89,99597.05637,6.22E-10,7.39326214,,8.38E-09,3.89E-09,7.38E-02
0,0.05,50334642.55,99337.40776,5.00E-10,,0,0.05,50334642.55,99337.40776,5.00E-10,7.394579476,,7.52E-09,1.51E-09,0.00E+00
0,0.055,50549347.13,98912.29268,3.78E-10,,0,0.055,50549347.13,98912.29268,3.78E-10,7.395900821,,3.03E-09,4.34E-10,1.22E-01
0,0.06,50899310.5,98219.36521,2.69E-10,,0,0.06,50899310.5,98219.36521,2.69E-10,7.397075988,,3.72E-09,3.82E-09,2.18E-02
0,0.065,51465611.54,97098.08916,1.82E-10,,0,0.065,51465611.54,97098.08916,1.82E-10,7.398014469,,4.73E-09,4.52E-09,2.34E-01
0,0.07,52371293.66,95304.83856,1.19E-10,,0,0.07,52371293.66,95304.83856,1.19E-10,7.39870156,,2.14E-09,4.80E-09,1.71E-01
0,0.075,53792909,92490.04018,7.59E-11,,0,0.075,53792909,92490.04018,7.59E-11,7.399173252,,1.97E-09,2.27E-09,5.51E-02
0,0.08,55960146.1,88198.91072,4.74E-11,,0,0.08,55960146.1,88198.91072,4.74E-11,7.39948294,,1.98E-09,2.15E-10,5.46E-02
0,0.085,59121276.19,81939.87314,2.93E-11,,0,0.085,59121276.19,81939.87314,2.93E-11,7.399680351,,5.38E-10,3.87E-09,4.17E-02
0,0.09,63447071.07,73374.79928,1.80E-11,,0,0.09,63447071.07,73374.79928,1.80E-11,7.399803833,,2.36E-09,5.96E-09,7.66E-02
0,0.095,68877033.44,62623.47379,1.10E-11,,0,0.095,68877033.44,62623.47379,1.10E-11,7.39988016,,1.35E-10,1.62E-09,1.19E-01
0,0.1,75000000,50500,6.69E-12,,0,0.1,75000000,50500,6.69E-12,7.399926994,,0.00E+00,0.00E+00,4.26E-02
0,0.105,81122966.56,38376.52621,4.07E-12,,0,0.105,81122966.56,38376.52621,4.07E-12,7.399955601,,1.14E-10,2.65E-09,3.38E-03
0,0.11,86552928.93,27625.20072,2.47E-12,,0,0.11,86552928.93,27625.20072,2.47E-12,7.399973027,,1.73E-09,1.58E-08,1.06E-01
0,0.115,90878723.81,19060.12686,1.50E-12,,0,0.115,90878723.81,19060.12686,1.50E-12,7.399983624,,3.50E-10,1.66E-08,7.88E-02
0,0.12,94039853.9,12801.08928,9.11E-13,,0,0.12,94039853.9,12801.08928,9.11E-13,7.399990061,,1.18E-09,1.48E-09,5.62E-03
0,0.125,96207091,8509.959822,5.53E-13,,0,0.125,96207091,8509.959822,5.53E-13,7.39999397,,1.10E-09,1.21E-09,4.00E-02
